DBN,streeteasy_id
31R001,ps1-statenisland
31R002,ps2-statenisland
31R003,ps3-statenisland
31R004,ps4-statenisland
31R005,ps5-statenisland
31R006,ps6-statenisland
31R007,ps7-statenisland
31R008,ps8-statenisland
31R011,ps11-statenisland
31R013,ps13-statenisland
31R014,ps14-statenisland
31R016,ps16-statenisland
31R018,ps18-statenisland
31R019,ps19-statenisland
31R020,ps20-statenisland
31R021,ps21-statenisland
31R022,ps22-statenisland
31R023,ps23-statenisland
31R024,ps24-statenisland
31R026,ps26-statenisland
31R027,ps27-statenisland
31R029,ps29-statenisland
31R030,ps30-statenisland
31R031,ps31-statenisland
31R032,ps32-statenisland
31R034,ps34-statenisland
31R035,ps35-statenisland
31R036,ps36-statenisland
31R038,ps38-statenisland
31R039,ps39-statenisland
31R041,ps41-statenisland
31R042,ps42-statenisland
31R044,ps44-statenisland
31R045,ps45-statenisland
31R046,ps46-statenisland
31R047,ps47-statenisland
31R048,ps48-statenisland
31R049,ps49-statenisland
31R050,ps50-statenisland
31R051,ps51-statenisland
31R052,ps52-statenisland
31R053,ps53-statenisland
31R054,ps54-statenisland
31R055,ps55-statenisland
31R056,ps56-statenisland
31R057,ps57-statenisland
31R058,ps58-statenisland
31R060,ps60-statenisland
31R061,ps61-statenisland
31R063,ps63-statenisland
31R064,ps64-statenisland
31R065,ps65-statenisland
31R069,ps69-statenisland
31R072,ps72-statenisland
31R075,ps75-statenisland
31R080,ps80-statenisland
31R440,ps440-statenisland
31R445,ps445-statenisland
31R450,ps450-statenisland
31R455,ps455-statenisland
31R460,ps460-statenisland
31R470,ps470-statenisland
31R600,ps600-statenisland
31R605,ps605-statenisland
31R861,ps861-statenisland
75R025,ps25-statenisland
75R037,ps37-statenisland
75R373,ps373-statenisland
75R721,ps721-statenisland
